Title|Gross
Kramer vs. Kramer|98982763
Last Embrace|1537125
The Late Great Planet Earth|19500000
Life of Brian|646124
Lost and Found|1022374
Love at First Bite|43885000
Mad Max|8750000
The Main Event|42800000
Manhattan|39900000
Meatballs|77170
Meteor|8400000
Moonraker|7108344
More American Graffiti|8100000
The Muppet Movie|76657000
Norma Rae|22228000
North Dallas Forty|26079312
The Onion Field|9890597
Phantasm|11988469
The Prisoner of Zenda|2425315
Prophecy|18389402
Rich Kids|53064
Richard Pryor: Live in Concert|15800000
Rocky II|6390537
Roller Boogie|775133
The Rose|29200000
Star Trek: The Motion Picture|39658976
Starting Over|35649012
Tess|20093330
Voices|27445
Wanda Nevada|2411145
The Warriors|22490039
When a Stranger Calls|21411158
Winter Kills|1083799
'Breaker' Morant|7142857
Nine to Five|103290500
AC/DC: Let There Be Rock|52590
Airplane!|83400000
Altered States|174650
American Gigolo|23000000
Any Which Way You Can|70700000
Atlantic City|12729675
The Blue Lagoon|58853106
The Blues Brothers|4858152
Bon Voyage, Charlie Brown|2013193
The Boogeyman|4500000
Bronco Billy|3708710
Brubaker|2748079
Caddyshack|3142689
La cage aux folles II|6950125
Caligola|80256
Can't Stop the Music|2000000
A Change of Seasons|16400000
Cheech & Chong's Next Movie|5262963
Coal Miner's Daughter|3366443
The Competition|14287755
Cruising|19798718
Divine Madness|769787
Dressed to Kill|31899000
The Elephant Man|26000000
Star Wars: Episode V - The Empire Strikes Back|51740189
Fame|118160
The Fiendish Plot of Dr. Fu Manchu|2399109
First Family|3635564
Flash Gordon|27107960
The Fog|21378000
The Formula|8849289
Foxes|7470348
Friday the 13th|5816321
Gilda Live|2261507
The Gods Must Be Crazy|28358465
The Gong Show Movie|1476425
Hangar 18|6000000
Heaven's Gate|3484331
Herbie Goes Bananas|18000000
Honeysuckle Rose|17815212
The Hunter|16274150
In God We Tru$t|2008150
In Search of Historic Jesus|22438000
The Island|3123267
The Jazz Singer|27118000
Just Tell Me What You Want|2086905
The Long Riders|23000000
Loving Couples|2806659
Maniac|6000000
Me and the Kid|45715
Melvin and Howard|4309490
My Bodyguard|1626851
The Nude Bomb|3565066
The Octagon|18971000
Oh, God! Book II|3439846
Oh Heavenly Dog|6216067
Ordinary People|54766923
Popeye|49823057
Private Benjamin|4739769
The Private Eyes|18014000
Prom Night|14796236
Raging Bull|49034
Raise the Titanic|7000000
Resurrection|308068
Roadie|1002263
Scanners|14225876
Serial|9870727
The Shining|622337
A Small Circle of Friends|700000
Smokey and the Bandit II|10883835
Stardust Memories|326779
Stir Crazy|101300000
The Stunt Man|7063886
Superman II|101347629
Those Lips, Those Eyes|63766
Time Bandits|35955861
Urban Cowboy|53300000
Used Cars|11715321
The Watcher in the Woods|5000000
When Time Ran Out...|1700000
Where the Buffalo Roam|6659377
Wholly Moses!|3625280
Why Would I Lie?|52473
Windwalker|18636482
Xanadu|1471595
Absence of Malice|40716963
All Night Long|1392852
The Amateur|6283669
American Pop|6000000
An American Werewolf in London|3786512
Arthur|88595661
Back Roads|3046339
Beyond the Reef|547525
Body Heat|23496500
Das Boot|11433134
Buddy Buddy|5600000
Bustin' Loose|6622753
The Cannonball Run|20007069
Carbon Copy|9566593
Cattle Annie and Little Britches|115679
Caveman|11800000
Chariots of Fire|55593332
Clash of the Titans|41092328
Comin' at Ya!|12000000
Conan the Barbarian|38511612
Continental Divide|10430647
Dead & Buried|216166
Deadly Blessing|8279042
Death Wish II|7533000
The Devil and Max Devlin|16000000
Diva|108372
Dragonslayer|2407939
E tu vivrai nel terrore - L'aldilà|123843
Endless Love|23315700
The Entity|13277558
Turkey Shoot|1414828
Escape from New York|25244700
Excalibur|4519706
An Eye for an Eye|7680000
Eye of the Needle|17583634
Eyes of a Stranger|546724
Eyewitness|6400000
The Final Conflict|5571675
For Your Eyes Only|32695997
Fort Apache the Bronx|29200000
The Four Seasons|4365643
The Fox and the Hound|23556988
The French Lieutenant's Woman|22600000
Friday the 13th Part 2|6429784
The Funhouse|2765456
Gallipoli|3623994
Ghost Story|16202210
Graduation Day|23894000
The Great Muppet Caper|2968990
La guerre du feu|67400000
Halloween II|20470309
The Hand|566736
Heartbeeps|407464
History of the World: Part I|23253349
Honky Tonk Freeway|939423
The Howling|17986000
The Incredible Shrinking Woman|4279264
King of the Mountain|958637
The Legend of the Lone Ranger|2945600
Longshot|256301
Mad Max 2|23667907
Mil gritos tiene la noche|1198346
Modern Problems|17223929
Modern Romance|18225
Mommie Dearest|17988509
My Bloody Valentine|5672031
My Dinner with Andre|5073
Neighbors|28732057
Night Crossing|4500000
Nighthawks|2525360
On Golden Pond|19255967
Only When I Laugh|25782304
Outland|3059638
Paternity|18838812
Pennies from Heaven|6200000
The Postman Always Rings Twice|12200000
Prince of the City|7840272
Private Lessons|26279000
Puberty Blues|237000
The Pursuit of D.B. Cooper|2104164
Raggedy Man|769000
Ragtime|17468158
Raiders of the Lost Ark|230329080
Reds|31802166
Rich and Famous|14492125
Roar|2000000
Rollover|10217873
S.O.B.|14867086
Sharky's Machine|32984898
Silence of the North|344837
Some Kind of Hero|20400486
Southern Comfort|2939174
Sphinx|439564
Stripes|83339362
Student Bodies|1582148
Take This Job and Shove It|17569030
Taps|35856053
Tarzan, the Ape Man|36565280
Thief|4300000
This Is Elvis|429146
