Fast Times at Ridgemont High|1982|Amy Heckerling
Who Dares Wins|1982|Ian Sharp
Firefox|1982|Clint Eastwood
First Blood|1982|a Wife and a Lover Husband
Five Days One Summer|1982|Fred Zinnemann
Forced Vengeance|1982|James Fargo
Frances|1982|Graeme Clifford
Gandhi|1982|Richard Attenborough
Hanky Panky|1982|Sidney Poitier
Heidi's Song|1982|Robert Taylor
Homework|1982|James Beshears
Honkytonk Man|1982|Clint Eastwood
I Ought to Be in Pictures|1982|Herbert Ross
If You Could See What I Hear|1982|Eric Till
Kiss Me Goodbye|1982|Robert Mulligan
The Last American Virgin|1982|Boaz Davidson
The Last Unicorn|1982|the Long-Eared Christmas Donkey Nestor
A Little Sex|1982|Bruce Paltrow
Love Child|1982|Larry Peerce
The Man from Snowy River|1982|Miss 4th of July Goodbye
Megaforce|1982|Hal Needham
A Midsummer Night's Sex Comedy|1982|Woody Allen
Monty Python Live at the Hollywood Bowl|1982|Ian MacNaughton
My Favorite Year|1982|Richard Benjamin
An Officer and a Gentleman|1982|Taylor Hackford
Paradise|1982|Stuart Gillard
Paradise|1991|Mary Agnes Donoghue
Penitentiary II|1982|Jamaa Fanaka
Personal Best|1982|Robert Towne
Pink Floyd The Wall|1982|Alan Parker
Porky's|1982|Bob Clark
Richard Pryor Live on the Sunset Strip|1982|Joe Layton
Rocky III|1982|Sylvester Stallone
The Secret of NIMH|1982|Don Bluth
The Seduction|1982|David Schmoeller
Shoot the Moon|1982|Alan Parker
Six Pack|1982|Lonely Night Night
The Soldier|1982|James Glickenhaus
Sophie's Choice|1982|Alan J. Pakula
Star Trek: The Wrath of Khan|1982|Nicholas Meyer
Still of the Night|1982|Robert Benton
Summer Lovers|1982|I Shrunk the Audience Honey
Tempest|1982|Paul Mazursky
Things Are Tough All Over|1982|Thomas K. Avildsen
TRON|1982|Steven Lisberger
The Verdict|1982|quand du seigneur Rachel
The World According to Garp|1982|George Roy Hill
Young Doctors in Love|1982|Garry Marshall
All the Right Moves|1983|Michael Chapman
Baby It's You|1983|John Sayles
Bad Boys|1983|Rick Rosenthal
